[00:00 - 00:57]  Будь здоров.
[01:22 - 01:31]  А минут три с половиной переносится, значит, у него обвиняется, то же правильно будет начать.
[01:47 - 01:58]  Прошу, как вы?
[02:16 - 02:22]  Мне, пожалуйста, вы нет интервалов, вы же включали, да, ведь вас не уйдет.
[02:22 - 02:23]  Я сейчас, не сейчас.
[02:23 - 02:23]  Включали.
[02:25 - 02:26]  Не думаю, потом.
[02:26 - 02:32]  Включали, просто вы забыли на ней, так, интервал вы исключали.
[02:32 - 02:35]  Так, следующая играми, вспомнил.
[02:58 - 03:13]  О, Господи.
[03:18 - 03:50]  Да, тут припоминаем, вспоминаем, вспоминаем.
[03:50 - 04:02]  Да, кстати, на уши.
[04:04 - 04:05]  Да, вот тоже.
[04:10 - 04:13]  У нас есть полная реальность.
[04:15 - 04:24]  Поэтому мы зашли полную.
[04:25 - 04:29]  То есть они здесь, и у нас зашли полная.
[04:29 - 04:30]  Потому что здесь у нас...
[04:30 - 04:33]  Я лучше бы нашел уже.
[04:34 - 04:36]  Да, я здесь.
[04:41 - 04:41]  Ой, это...
[04:41 - 04:46]  Смелюсь.
[04:46 - 04:49]  Пока, значит, у вас там всякая класса.
[04:50 - 04:53]  Там у нас чередование.
[04:54 - 04:55]  Так, видите, так вас еще?
[04:55 - 04:56]  Да, плюс и минус.
[04:58 - 05:01]  Давайте будем проверять, потому что в следующем видео мы будем на фельдшку лить.
[05:22 - 05:23]  Двенадцать минут.
[05:23 - 05:26]  Нам уже надо будет опроверять все области.
[05:26 - 05:27]  О, да.
[05:27 - 05:32]  Запишите, да, в стихоте двенадцать, это круто, не очень.
[05:32 - 05:35]  Ну, кто-то справа не читает, а кто-то сверху, да?
[05:35 - 05:39]  Да, значит, на сверху он устроен.
[05:40 - 05:42]  Молочные жилы при тачке тут.
[05:45 - 05:47]  Минус 4.
[05:48 - 05:53]  Это какая-то интересная.
[05:54 - 05:56]  О, да у меня. Мужик, привет.
[06:01 - 06:03]  Как чего? Какие сегодня мужики?
[06:23 - 06:25]  Крюс.
[06:31 - 06:32]  Минус 2.
[06:35 - 06:37]  Лично делить на 4.
[06:38 - 07:28]  Минус, минус, минус, минус, минус, минус, минус, минус.
[07:40 - 09:20]  Оба двойка соединились. Это я, по-другому.
[09:20 - 09:35]  Да, там говорят, что он нажимает, что вы хотите там.
[09:35 - 09:38]  По-другому не пейся.
[09:38 - 09:41]  А в колокольчике я не нашёл.
[09:41 - 09:53]  Я взял уголовное молоко, подумал, я не схожу.
[09:53 - 11:46]  И похоже, у меня всё.
[11:46 - 11:50]  О-о-о-о-о.
[11:50 - 11:52]  Я могу джебни и кальчик просить.
[11:52 - 11:55]  И отражающий.
[11:55 - 11:58]  Не похоже.
[11:58 - 12:00]  Не похоже.
[12:03 - 12:12]  В порядке, чтобы потом расставить.
[12:12 - 12:19]  В порядке, чтобы потом расставить.
[13:15 - 13:20]  Ты блять.
[13:20 - 13:23]  Если не блять, затем заплеть.
[13:23 - 13:35]  Чё решил?
[13:35 - 13:39]  Чё решил?
[13:39 - 13:42]  вот это ваш обувь
[13:42 - 13:44]  я надеюсь загрузить
[13:44 - 13:46]  вот это
[13:46 - 14:04]  это блять
[14:04 - 14:08]  я держу голову, понял блять
[14:08 - 14:10]  яйца голову
[14:10 - 14:14]  яйца с подвалы шутковые
[14:14 - 14:19]  загрузим
[14:19 - 14:22]  это блять
[14:22 - 14:24]  у меня в сумку хуём
[14:24 - 14:26]  это вообще не хуя блять
[14:26 - 14:30]  ты знаешь почему
[14:30 - 14:32]  у нас у кого что за ваших было
[14:32 - 14:33]  Да?
[14:33 - 14:34]  Ты знаешь, почему?
[14:34 - 14:36]  Залошу, залошу, залошу, залошу, залошу.
[14:36 - 14:37]  Почему я?
[14:37 - 14:43]  Мне было на должность.
[14:43 - 14:47]  В 2000-х повезе на должность уже сюда.
[14:47 - 14:52]  А с этой проблемой с на должность.
[14:52 - 14:55]  Я там ухожу.
[14:55 - 14:56]  С вообще, блять, я там ухожу.
[14:56 - 14:57]  Не ударался?
[14:57 - 15:01]  Ну, совсем ладно.
[15:01 - 15:06]  Она началась, а потом, наверное, начали.
[15:06 - 15:07]  На оборот.
[15:07 - 15:12]  Там, сначала, вроде, уменьшилось, ну там, на 20 килобайт.
[15:12 - 15:18]  На 2, по-моему, что всё.
[15:18 - 15:20]  Сколько металлайтов и колышки не сучились.
[15:20 - 15:23]  О!
[15:23 - 15:24]  Загрузило, загрузило.
[15:24 - 15:51]  Успеем, надо быстрее в сумке закинуть.
[15:51 - 15:54]  А сейчас на втором этаже.
[15:54 - 15:56]  Посмотри, кабинет нас не пустит.
[15:56 - 16:15]  А счеты как пустят.
[16:15 - 16:18]  Все, погнали.
[16:18 - 16:23]  Я выхачиваю.
[16:23 - 16:25]  Да пофиг может пустят.
[16:25 - 16:30]  Надо в сторону попробовать.
[16:30 - 16:34]  Вот, допустим, динамит могу сгенерировать.
[16:34 - 16:36]  Допустим.
[16:39 - 16:41]  Нет, блядь, вы чуяйца.
[16:45 - 16:47]  А нет, я больше ничего нового не хочу.
[16:49 - 16:53]  Напиши ему с гнилой, по его наградениям, что все не важно.
[16:54 - 16:58]  Типа, какие-нибудь антенны выдоставишь их, типа нету баба.
[17:05 - 17:15]  Какой там кабинет географии, я не помню.
[17:15 - 17:19]  А у нас 30 минут есть.
[17:26 - 17:28]  Ты уж истинный.
[17:31 - 17:32]  Чё-то из 200.
[17:33 - 17:36]  Блядь, ай, попусть.
[17:37 - 17:38]  Похуй уже ослабываешься.
[17:39 - 17:40]  Не-не, ладно, не похуй.
[17:44 - 17:48]  Типа похуй, но не похуй, но похуй.
[17:48 - 17:51]  Хорошо, типа не похуй, но похуй.
[17:51 - 17:52]  А, не-не, похуй.
[17:52 - 17:55]  Да-да-да-да-да-да.
[17:55 - 17:57]  Здесь еще будет со стороны.
[17:58 - 18:00]  А когда у нас эта физкультура будет?
[18:01 - 18:06]  Здесь с Нового года сделают физкультуру на лужах.
[18:06 - 18:11]  А, блин, это лужи никогда не нравились особо.
[18:12 - 18:14]  На лужах даже.
[18:15 - 18:18]  Ну шесть лет так оказался, ну что, я не могу найти.
[18:19 - 18:20]  Давай, давай, кабинет, кабинет.
[18:21 - 18:22]  Ну, кабинет давай.
[18:23 - 18:26]  Твоя ошибка, да что ты ошибся?
[18:32 - 18:36]  Ну, ты ведь начал проверять.
[18:36 - 18:37]  И недопроверил.
[18:40 - 18:41]  Мы бы там сидели, по-моему.
[18:42 - 18:45]  Вот видишь, все стоят.
[18:45 - 18:50]  И правда, все стоят.
[18:51 - 18:53]  А, пойдем тогда в соул.
[18:53 - 20:01]  Да давай, да давай, ты такой, не такой, такой, никакой, я такой, такой, такой.
