[00:07 - 00:15]  Крахмал, гликоген, целлюлоза.
[00:17 - 00:24]  Крахмал это в растительных организмах.
[00:24 - 00:26]  Как правило, вы вспоминаете обычно картошку.
[00:28 - 00:31]  Крахмал, хотя крахмал может быть разный.
[02:09 - 02:44]  Итак, у нас содержится крахмал, это у нас, соответственно,
[02:44 - 02:45]  кофе.
[02:45 - 02:46]  Из чего?
[02:46 - 02:52]  Для крахмала в сокращительных клетках содержится запас
[02:52 - 02:57]  веществ, запас энергии, диома крахмала.
[02:57 - 03:00]  Если мы говорим о животных клетках, то там гликаен
[03:00 - 03:01]  как раз.
[03:01 - 03:08]  Вот клейкогена, печени и мышечные ткани клейкогена.
[03:08 - 03:14]  То есть, вот говоря, когда вы говорите, что, например, у вас безуглеводная диеза,
[03:14 - 03:20]  и вы не едите углеводы, а едите только мясо, вы должны понимать, что мясо вы едите без конец.
[03:21 - 03:22]  Выводы там есть.
[03:23 - 03:25]  Такое количество, да?
[03:27 - 03:28]  Далее, целлюлоза.
[03:29 - 03:34]  Целлюлоза – это предточность отборосительных организмов, вы прекрасно это знаете.
[03:36 - 04:08]  Соответственно, это структурный компонент, хитин, хитин ходит в клеточную стенку грибов, ну и вот в прошлый год мне сказали, это внешний скелет насекомых, да, насекомых, внешний скелет, все верно, то есть у них углеводная составляющая, а у нас на самом деле белки и, соответственно, минеральная составляющая.
[04:08 - 04:15]  Так, идем, функционал, пишите функции, гаиточи.
[04:17 - 04:18]  С чего начнем?
[04:21 - 04:24]  Погласим, начнем.
[04:26 - 04:29]  Пишите структурное.
[04:30 - 04:34]  Только водная нам не нужна, клеточный стеркл вспомните, я думаю, что...
[04:34 - 04:36]  Бузару.
[04:42 - 04:47]  Рецепторное, это вспомните, на мембране как раз есть вот эти рецепторы леводные.
[04:47 - 04:51]  То есть чувствуют то за пределами клетки.
[04:53 - 04:59]  Далее, энергетическая 17,2 кг энергии.
[04:59 - 05:02]  На самом деле практически одинаково с белками,
[05:02 - 05:05]  Но энергия здесь будет разная.
[05:07 - 05:09]  Вроде обсудим, почему разная.
[05:20 - 05:36]  Третья энергетическая.
[05:36 - 05:39]  11,2 кг пишите, да?
[05:48 - 05:57]  Потом скажите, пожалуйста, какой у вас вариант-то был?
[05:58 - 06:00]  Какой вариант-то был?
[06:00 - 06:01]  Какого?
[06:01 - 06:02]  Первый.
[06:03 - 06:04]  Я тебе написал.
[06:05 - 06:07]  Я честно, что я написал, да.
[06:07 - 06:09]  Мне вот, мне кажется, что это интеллица.
[06:21 - 06:27]  Крахмаловый коген, запас соответственной энергии внутри клетки.
[06:28 - 06:34]  Посмотрите, углеводы в рационе нам нужны.
[06:34 - 06:36]  Углеводы – это быстрая энергия.
[06:37 - 06:41]  То есть, когда нужно быстро пополнить энергетический запас.
[06:41 - 06:47]  Особенно энергия, которая необходима для центральной нервной системы.
[06:47 - 06:48]  Шоколадки.
[06:48 - 06:49]  Шоколадки, да.
[06:49 - 06:52]  Нам всем давали шоколадки на ОГЭ.
[06:52 - 06:55]  Покупали, покупали.
[06:56 - 06:58]  Ну, папа с мамой давали.
[06:58 - 06:59]  Не, не, не.
[07:00 - 07:00]  Самостоятельно.
[07:01 - 07:03]  Это на самом деле правда.
[07:03 - 07:11]  То есть углеводы дают хорошую энергию для сжарной геодной системы быстро.
[07:12 - 07:16]  Энергия углеводов в чем опасность?
[07:16 - 07:20]  Я уже говорила, да, если количество, а это быстрая энергия,
[07:20 - 07:23]  это значит одномоментно большое количество выделяется, да,
[07:24 - 07:26]  организм будет нужден думать, куда ее деть.
[07:27 - 07:30]  Он потратить все сразу не может,
[07:31 - 07:33]  Соответственно, он ее запасет.
[07:33 - 07:34]  Запасет в виде жиров.
[07:35 - 07:36]  Сродство есть.
[07:36 - 07:39]  Ну и еще, если большое количество углеводов сразу,
[07:39 - 07:43]  вам не нужно обязательно для ее расчетения инсулин.
[07:44 - 07:46]  Рецепторы должны работать хорошо.
[07:46 - 07:49]  Если каждый раз очень много, большое количество углеводов.
[07:49 - 07:50]  Сахарная диабета.
[07:50 - 07:50]  Да.
[07:50 - 07:54]  То есть рецепторы забиваются, они не чувствуют.
[07:55 - 07:57]  В этом опасность может развиться диабет.
[07:59 - 08:02]  Приобретенный диабет, да, мы воображали более приобретенный.
[08:03 - 08:12]  Если приобретенный диабет, тут надо смотреть, как корректировать обменные процессы.
[08:12 - 08:15]  Ну и жесткая диета по углеводу.
[08:15 - 08:16]  Ну да, еще что.
[08:17 - 08:19]  Как можно быстро углевода помидеть?
[08:20 - 08:22]  Кровь, например, уровень.
[08:23 - 08:24]  Это умельная физическая нагрузка.
[08:25 - 08:26]  То есть вы энергию тратите.
[08:26 - 08:28]  Умельная физическая нагрузка – это ходьба.
[08:29 - 08:31]  Все так говорят.
[08:31 - 08:39]  То есть если вы хотите помидеть, у вас высокие глюкозы, нужно просто гулять.
[08:41 - 08:48]  Умеренная физическая нагрузка, не бег, не ростки какие-то, а именно вот на трактах.
[08:48 - 08:53]  Ну и да, диета обязательно.
[08:57 - 08:58]  Идем дальше.
[08:59 - 08:59]  Белки.
[09:00 - 09:08]  Белки немножко будут по структуре посложнее, что мы с вами будем разбирать.
[09:08 - 09:21]  Потому что нам нужно понимать, как они образуются, чтобы вы весит, если потом легко ориентировались.
[09:21 - 09:37]  Ну и еще нам нужно понимать, почему на самом деле, в данном случае, по количеству энергии, столько же, как и углеводов, жиров больше, углеводов, столько же, как и углеводов, но при этом углеводов считаются наиболее качественными.
[09:39 - 09:41]  Полезно и полезно все.
[09:42 - 09:44]  Вопрос в количестве и в качестве.
[09:45 - 09:54]  Углеводы должны быть обязательны в рационе, при том большую часть тарелки, каждый прием пищи, должны составлять углеводы.
[09:54 - 10:28]  Должны быть углеводы с крючатками, когда вы на крючатку тратите энергию, у вас баланс работает, это первое, второе, в печалительной системе крючатка будет полезна, чем быстрее углеводы, которые раз и прошли, каша, хлеб, каша должна быть тоже правильная, то есть это должна быть не быстрое приготовление.
[10:28 - 10:30]  Которую надо поварить.
[10:30 - 10:33]  Должна быть, соответственно, не манка какая-нибудь,
[10:34 - 10:36]  а должна быть гречечка.
[10:37 - 10:37]  Перлока.
[10:38 - 10:40]  Ага, перлока пока даваешь.
[10:40 - 10:42]  А рис подходит подойти?
[10:43 - 10:48]  Рис на самом деле не совсем нужен рис, который типа бурый.
[10:48 - 10:49]  Который не чистый.
[10:49 - 10:50]  Коровичный такой.
[10:50 - 10:53]  Если очень много есть риса, и постоянно только рис,
[10:53 - 10:54]  то можно получить какую-то бурь.
[10:55 - 10:57]  Можно очень болезненно получить, если только рис есть.
[10:58 - 10:59]  Есть.
[11:00 - 11:01]  Я ловлю кризис подбернул.
[11:01 - 11:28]  Идем дальше, давайте так, белки, да, что из себя представляют белки, скажите мне, пожалуйста, с химической точки зрения, давайте вспомним еще раз, а тонические соединения у нас состоят, макромолекул состоят из малых молекул, что из себя представляют белки?
[11:28 - 11:29]  Клей?
[11:31 - 11:32]  Нет.
[11:32 - 11:36]  Еще раз, пожалуйста, вроде посмотрите.
[11:36 - 11:40]  Адонические соединения у вас макромолекулы и полимеры.
[11:40 - 11:44]  Малые молекулы, соответственно, и малые молекулы.
[11:45 - 11:46]  Да.
[11:46 - 11:49]  Итак, по определению, соответственно, что это будет?
[11:49 - 11:55]  Белки – это галактические полимеры, которые состоят или которые образованы аминокислотами.
[12:06 - 12:11]  Аминокислот, вот здесь у вас таблички, сокращение 20 аминокислот.
[12:11 - 12:17]  Вообще, сейчас уже открыли 21 аминокислоту, которая входит в состав белков, соответственно.
[12:18 - 12:30]  У нас в школьной программе 20, те, которые участвуют у нас в синтезе белков, гетеротрофов, млекопитающих, нас с вами.
[12:31 - 12:37]  С этой стороны, еще один слайдин дают, у вас таблица генетического кода.
[12:37 - 12:44]  В серединке, видите, аминокислот сокращения, а здесь расшифровка.
[12:45 - 12:51]  Здесь 6 штук, нужно с оборотами, чтобы можно было просто вставлять.
[12:51 - 12:53]  Ну, либо по отдельности, вы отдельными таблицами.
[12:56 - 13:00]  Эта таблица, если вы будете выбирать другую, да, то есть скачивает.
[13:01 - 13:05]  Я вас очень прошу, там спокойно можно разрезать, она легко.
[13:07 - 13:11]  Выбрать именно такую, какую я вот здесь показываю.
[13:11 - 13:16]  Почему? Здесь таблица, которая имеет два варианта расшифровки аминокислот.
[13:16 - 13:21]  Это ДНК и РНК. Я вас прошу, чтобы было два варианта.
[13:21 - 13:28]  Есть таблица генетического кода по ИРНК, а есть по ДНК и ИРНК.
[13:28 - 13:29]  Мне нужна именно такая.
[13:33 - 13:43]  Смотрите, белок, биологический полимер, который состоит из аминокислоты.
[13:44 - 13:46]  Аминокислоты, это получается мономеры, так?
[13:47 - 14:02]  Смотрите, пожалуйста, аминокислоты, идем дальше.
[14:02 - 14:08]  Нам нужна эта схемочка.
[14:11 - 14:18]  Это аминокислоты.
[14:21 - 14:26]  Белок, биологический полимер, состоящий из аминокислоты.
[14:27 - 14:30]  Довная формула аминокислоты.
[14:32 - 14:37]  Значит, смотрите, что из себя представляет аминокислота.
[14:38 - 14:47]  Есть аминокруппа, углерод с водородом, карбоксильная группа, то есть две части торчат.
[14:49 - 14:53]  И вот к этой среднему углероду присоединяется радикал.
[14:54 - 14:55]  20 разных.
[14:57 - 15:01]  20 аминокислот, 20 разных радикалов.
[15:02 - 15:03]  А что вы прописали?
[15:05 - 15:23]  Аминокруппа, карбоксильная группа, карбоксильная группа.
[15:23 - 15:31]  Вот смотрите, это вот такой полимер, который состоит из аминокислот.
[15:31 - 15:33]  Что еще? Как еще называют белки?
[15:34 - 15:36]  Белки еще называют полипептиды. Почему?
[15:36 - 15:40]  Потому что между аминокислотами образуется пептидная связь.
[15:40 - 15:47]  И та связь, которая образована между пробоксиногруппой одной аминокислоты и аминогруппой последующей.
[15:48 - 15:51]  Вот аминокислотная связь.
[15:51 - 15:54]  Мы словами сейчас ее запишем.
[15:54 - 16:03]  Пишите рядом, получается, с турной формулой или ниже, как у вас получается.
[16:03 - 16:08]  Между аминокислотами образуется пептидная связь.
[16:08 - 16:12]  Между аминокислотами образуется пептидная связь.
[16:16 - 16:25]  Сейчас вот такие пептиды могут быть в лекарственных препаратах и валах, пептид содержащие.
[16:26 - 16:30]  Есть косметические средства, крем, например, пептид содержащий.
[16:31 - 16:32]  Что это значит?
