[00:00 - 00:00]  Просите.
[00:20 - 00:28]  Ладно, ну, не знаю, напиши мне, пожалуйста.
[00:32 - 00:35]  Такого вредного нужно спросить.
[00:39 - 00:40]  Скажешь, ладно.
[00:41 - 00:42]  Шкафчик мой.
[00:42 - 00:46]  Значит, философскую Лилия Капкишкина, здесь у нас что?
[00:47 - 00:49]  Лилия, да, Лилия, это что это?
[00:50 - 00:57]  Памя, это философское размышление о...
[00:57 - 01:02]  Да, философское грустное размышление о жизни.
[01:02 - 01:04]  Вот он пишет произведение Лилии.
[01:05 - 01:07]  Здесь случается страдание и наслаждение.
[01:08 - 01:10]  Он пишет, я жить хочу, чтобы мыслить и страдать.
[01:11 - 01:12]  Вот я посетил.
[01:13 - 01:16]  Он пишет, что время быстротечно, но жизнь продолжается.
[01:17 - 01:20]  Природа вечна, человек в части этого круговорота.
[01:20 - 01:24]  Также пора, мой друг, пора, пишет, да, счастья нет.
[01:25 - 01:27]  Медный всадник мы с вами разобрали.
[01:27 - 01:31]  В последние годы дуэли мы с вами в возрасте 38 лет.
[01:32 - 01:35]  Он умирает, это 29-й дуэль будет у него.
[01:35 - 01:41]  Вот, получается, да. Всего было 29 дуэлей, и 29-я была последняя.
[01:42 - 01:43]  И 29-я была последняя.
[01:43 - 01:48]  Да. 29-я, получается, и не говоря, он скончался.
[01:48 - 01:49]  Я, кстати, об этом убил.
[01:51 - 01:54]  27-го он ранен был, и через 2 дня он умирает.
[01:54 - 01:56]  29-го он скончался.
[01:57 - 02:00]  Гончарова. Живу он очень сильно любил.
[02:00 - 02:05]  Гончарова первое время не выходила замуж, потом она вышла замуж.
[02:05 - 02:07]  А второго брата, у него двое детей.
[02:08 - 02:10]  Гончарову он очень сильно баловал.
[02:10 - 02:16]  Я говорю вам, это первый писатель поэт, который начал получать за свое творение Занакара.
[02:17 - 02:22]  За Евгения Анигина я вам говорила в примере, что получил 15 тысяч рублей.
[02:23 - 02:29]  Если вот за 7 лет наши современники переводили его заработанные деньги,
[02:29 - 02:35]  за 7 лет последнего года Живейков он заработал, он 22 примерно миллионов долларов заработал.
[02:35 - 03:03]  он довольно был по тем нету богатым человеком, но он умер в долгах, жену оставил в долгах, почему Пушкин оставил в долгах, потому что он очень сильно шиковал, я вам говорила вроде бы, да, шиковал, то, что содержал очень много людей, у него помещение было большое, вот эти все одежды она дорогу стоила и тому подобное.
[03:03 - 03:28]  Значит, вам что нужно запомнить? Пушкин, это основоположник. Если я спрашиваю, например, кто такой Пушкин на экзамене, на зачете, вы должны мне не говорить Пушкин, которому читала сказки Арина Родионова, или это Лукомоль и Духзеленый.
[03:28 - 03:39]  Вы не должны как студентам первого курса основоположные современного русского литературного языка.
[03:40 - 03:46]  Вы должны мне сказать, что он соединил книжный язык с живой разговорный языком.
[03:47 - 03:52]  Это имеется в виду книжный, цифровый славянский язык с живым русским языком.
[03:52 - 03:59]  Для чего он соединил? Для того, чтобы образование было доступным для всех слоев населения.
[03:59 - 04:10]  А то общие слои, верхние слои разговаривают на церковном славянском, а простой рабочий класс разговаривает на другом языке.
[04:10 - 04:13]  Соответственно, образование было бы недоступным.
[04:13 - 04:15]  Это согласитесь?
[04:15 - 04:26]  Он показал, что можно писать обо всем, о жизни, о природе, о людях, о простых людях, о любви, о власти с одинаковым глубиной и правдой.
[04:26 - 04:34]  И также он является основоположником его реализма, мы сказали, направлении реализма.
[04:34 - 04:36]  Вот это вот снимать.
[04:37 - 04:40]  Так, дальше переходим к следующей теме.
[04:40 - 04:47]  Так, анализ произведений в недостатке получается всего четыре стихотворения,
[04:47 - 04:50]  которые нужно прочитать и написать анализ в тетрадь.
[04:50 - 04:51]  Понятно?
[04:51 - 04:58]  Ну, мы проанализировать в классе не можем, потому что у нас учебник с одиннадцатого класса только есть.
[04:58 - 05:05]  Когда к 11-му классу перейдем, пользуемся учебниками 11-му класса.
[05:05 - 05:08]  А пока у вас самостоятельная работа.
[05:08 - 05:12]  Прочитайте, ознакомьтесь и записайте анализ в тетрадь. Понятно?
[05:12 - 05:12]  Чего?
[05:13 - 05:15]  Ладно, дальше.
[05:19 - 05:22]  Напишите Александр Николаевич Астровский.
[05:22 - 05:23]  А можно ему показать задание?
[05:24 - 05:24]  Сейчас строю.
[05:25 - 05:25]  Какое?
[05:26 - 05:29]  Ну, которое он задавает опытом создания этого.
[05:29 - 05:50]  Александр Николаевич Островский, это основоположник современного литературного лица.
[05:50 - 05:52]  А как то? Островский, а самоположник чего?
[05:53 - 05:54]  Нет, не русский.
[05:56 - 05:58]  Островский Александр Николаевич.
[05:58 - 06:03]  Островский, запомните, создатель русского театра.
[06:04 - 06:07]  Создатель русского театра.
[06:07 - 06:08]  Года жизни.
[06:09 - 06:10]  Островский, да, Островский.
[06:11 - 06:12]  Островский.
[06:13 - 06:17]  Я уже примеряла тетради, как ты же, а Островский написали.
[06:17 - 06:18]  Неужели вы не спешили?
[06:22 - 06:24]  Какое произведение написал?
[06:24 - 06:26]  Вы, может, знаете произведение Островского?
[06:27 - 07:04]  Сне-Бу-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у-у
[07:04 - 07:06]  Ютуб шорчер
[07:06 - 07:10]  Я лучший
[07:10 - 07:17]  Я ютуб шорчер
[07:17 - 07:20]  Я умнее
[07:20 - 07:23]  Я ютуб шорчер
[07:23 - 07:26]  Я не ютуб шорчер, я умнее
[07:26 - 07:27]  Это, блядь, как стакан
[07:27 - 07:29]  А вот так уж
[07:29 - 07:31]  Где ты себе еще это не связано с твоим именем
[07:31 - 07:37]  Блядь, бутылку, бимать уже
[07:37 - 07:54]  Нормально, ну нормально, мало, мало, для нашей жизни было базы.
[07:54 - 07:54]  Ну для той жизни нормально, там, в таком году, он в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году, в таком году,
[07:54 - 08:10]  Ну нормально, оценивают одежду, людей, и так далее.
[08:10 - 08:15]  Не детей, не детей.
[08:15 - 08:21]  Говорю, оценивают одежду, фильмы, людей.
[08:39 - 08:42]  Приходим к творчеству Александра Николаевича Островского.
[08:42 - 08:46]  Его называют Колумбом Самоскворечья.
[08:46 - 08:47]  Колумб – это кто такой?
[08:48 - 08:49]  Открыватель этого Америки.
[08:49 - 08:51]  Один из вероятных открытий.
[08:51 - 08:54]  Да, вот Колумб – это открыватель.
[08:54 - 09:00]  Значит, Островский тоже, раз его называешь Колумбом Самоскворечья,
[09:00 - 09:03]  значит, тоже что-то он открыл.
[09:04 - 09:05]  Самоскворечья он открыл.
[09:05 - 09:07]  Так, что он открыл?
[09:07 - 09:09]  Посмотрите, я сейчас отвечу на телефон,
[09:10 - 09:12]  А вы мне должны быть ответить.
[09:12 - 09:15]  Почему он ответить должен?
[09:16 - 09:22]  Почему Астровского называют Колумбу за Москворечье?
[09:25 - 09:27]  Нужно найти ответ в интернете.
[09:28 - 09:29]  Я просто звоню.
[09:29 - 09:33]  А вы пока ищите ответ на этот вопрос.
[09:33 - 09:35]  Мы потом сравним.
[09:42 - 09:48]  Колумб за Москворечье.
[09:48 - 09:48]  Нашли?
[09:50 - 09:50]  Запишите.
[09:51 - 09:52]  Ну что вы нашли?
[09:57 - 10:08]  Ладно, Колумб, не пишите пока. Ладно, Колумб за Роскворечья, потому что открыл для русской литературы целый мир.
[10:09 - 10:13]  Чего? Мир купечества, мир гречанства и мир чиновничества.
[10:13 - 10:22]  Открыл нами.
[10:37 - 10:41]  Будь здоров.
[10:41 - 10:49]  Будь здоров.
[10:54 - 10:59]  Это все шутки вообще.
[10:59 - 11:04]  Знаешь, как это делает?
[11:04 - 12:38]  Открыл для русской литературы целый мир купечества, мечанства, чиновников.
[12:38 - 12:44]  Островский родился в 1823 году в Москве, за Москворечье,
[12:44 - 12:46]  В районе, где жили купцы и мечани.
[12:47 - 12:50]  Он там рос и видел изнутри, как все происходит.
[12:50 - 12:53]  Его отец был судебным чиновником.
[12:53 - 12:56]  Мать происходила из духовного сословия.
[12:57 - 13:03]  В домашнее образование он знал не два-три языка.
[13:04 - 13:05]  Мы с вами сколько языков знаем?
[13:06 - 13:07]  Сколько знаете?
[13:07 - 13:08]  Железки.
[13:09 - 13:11]  Вы языки знаете?
[13:11 - 13:12]  Железки.
[13:12 - 13:13]  Знаем.
[13:13 - 13:38]  Он знал греческий, латинский, французский, немецкий, а также научился английский, итальянский, испанский языки.
[13:39 - 13:41]  Сколько языков он знал?
[13:41 - 13:46]  Он учился в московском университете на юридическом факультете.
[13:46 - 13:49]  Как вы думаете, юридический факультет он закончил?
[13:49 - 13:49]  Нет.
[13:50 - 13:55]  Как и Лев Николаевич Толстой, он юридически в факультет бросил.
[13:55 - 14:00]  Вы знаете, Лев Николаевич Толстой тоже поступил?
[14:00 - 14:01]  Алло, да.
[14:04 - 14:12]  А что? Ладно, сейчас, давай.
[14:13 - 14:14]  Есть ли?
[14:19 - 14:20]  Это 200.
[14:22 - 14:54]  Да, вы не заходили чем, как вы думаете?
[14:55 - 15:22]  Итог литературы, а в частности, раз он является основоположником чего? Создатель чего? Театр. Он увлекся театром, смотрелся на человеческие судьбы. Это дало ему материал для дальнейших пьес. Понятно? В 9-м году?
[15:22 - 15:29]  26 лет
[15:29 - 15:32]  Он написал первую большую комедию
[15:32 - 15:33]  Эта комедия
[15:33 - 15:35]  Называется «Свои люди сочтёмся»
[15:38 - 15:40]  Аккушин, да, меня?
[15:41 - 15:42]  Я вижу
[15:42 - 15:45]  Молодцы, если вы меня рады
[15:45 - 15:47]  Вот то, что слушать
[15:47 - 15:50]  Это в войне
[15:50 - 15:52]  Которые прислали
[15:52 - 15:54]  Известность
[15:54 - 15:56]  За эти годы Аккушин
[15:56 - 15:58]  Писал ОКС
[15:58 - 16:09]  А Пушкин сколько написал стихов, а Пушкин сколько написал стихов, а Пушкин сколько написал стихов?
[16:09 - 16:11]  Больше три пятидесят.
[16:11 - 16:21]  Я здесь раздираю свой плод, плод кладки, рассказываю им каждый день.
[16:21 - 16:25]  Они здесь буквально стихов писали.
[16:25 - 16:30]  Я их в записи не давала, я вам примерно говорила.
[16:30 - 16:32]  Больше стихов.
[16:32 - 16:35]  Более 100? Больше 1000?
[16:35 - 16:37]  Более 100 миллионов.
[16:37 - 16:54]  Он написал около 800 стихотворительных стихотворительных стихотворительных стихотворительных стихотворительных стихотворительных стихотворительных стихотворительных стихотворителей.
[16:54 - 16:57]  Больше 80.
[16:57 - 17:13]  Он создал русский национальный театр.
[17:13 - 17:21]  Иван Гончаров писал ему.
[17:23 - 17:29]  Саня, какое изведение писал Гончаров?
[17:33 - 17:34]  Боря.
[17:34 - 17:35]  Ротума.
[17:42 - 18:00]  Он говорил, что вы один, в основании которого положили в краеугольные камни.
[18:00 - 18:03]  Фан Витин, Грибоедов, Гоголь.
[18:03 - 18:11]  Но только после вас мы, русские, можем гордостью сказать, что у нас есть свой русский национальный театр.
[18:11 - 18:12]  Их нельзя.
[18:12 - 18:14]  Нельзя, и можно там, а?
[18:14 - 18:25]  Он показывает, что театр это зеркало, в котором общество видит себя.
[18:26 - 18:31]  Оно показывает пороки, проблемы, чтобы люди задумывались.
[18:32 - 18:34]  У вас ходит в театр, поднимите руки.
[18:36 - 18:39]  Ходит с родителями.
[18:41 - 18:45]  Вот, например, парад ходит.
[18:55 - 18:59]  Это будет больше, да?
[18:59 - 19:00]  Что?
[19:00 - 19:01]  Хотели?
[19:01 - 19:05]  Не нравится вам в театре?
[19:06 - 19:06]  Прикольно.
[19:08 - 19:09]  Прикол.
[19:10 - 19:14]  Надо сходить на такие постановки, которые понравятся.
[19:14 - 19:18]  Есть постановки, которые заходят на ура, а есть, которые нет.
[19:19 - 19:19]  Ладно?
[19:20 - 19:21]  Так, ладно.
[19:21 - 19:25]  И вот Астровский показал, что театр это не просто разведение,
[19:25 - 19:29]  а это отражение действительности, которое происходит в обществе.
[19:30 - 19:33]  Там, где поднимаются актуальны темы нашей жизни.
[19:34 - 19:35]  Это важно и сегодня.
[19:36 - 19:38]  Искусство помогает нам понять себя и других.
[19:39 - 19:42]  Теперь вопросы, которые я вам рассказала.
[19:42 - 19:43]  Давайте ответьте на вопросы.
[19:43 - 19:47]  Почему Островского называют колонку замскворения?
[19:47 - 19:49]  Прошло для русской литературы.
[19:51 - 19:53]  Мир, купечество, мещанство и чудовищество.
[19:53 - 19:54]  Молодец.
[19:54 - 19:55]  Второй вопрос.
[19:55 - 19:58]  Сколько пьес написал Островский?
[19:58 - 19:59]  Около 50.
[20:00 - 20:04]  Около 50, да, написал пьесу.
[20:04 - 20:05]  Дальше, третий вопрос.
[20:05 - 20:10]  Почему Кончаров сказал, что Островский достроил здание русского театра?
[20:12 - 20:13]  Он этого заступил явно.
[20:15 - 20:16]  Он этого заступил.
[20:16 - 20:17]  Почему он так сказал?
[20:17 - 20:23]  Потому что он вложил в здание русского языка культуру театра.
[20:23 - 20:25]  Он объединил традиции.
[20:26 - 20:30]  Ван Визина, Грибоедова, еще, как бы я сказал, Гоголя, да?
[20:30 - 20:35]  Ну, они заложили, а он создал русский национальный театр.
[20:36 - 20:36]  Понятно?
[20:36 - 20:37]  Пишем.
[20:38 - 20:40]  Так, родился в Москве, пишем.
[20:42 - 20:46]  Родился, пишем, в Москве.
[20:47 - 20:50]  Родился в Москве.
[20:51 - 20:53]  Родился в Москве.
[21:13 - 21:16]  Серый ставим, с новой строчки.
[21:21 - 21:31]  Написал около пятидесяти пьес.
[21:38 - 22:00]  Так, дальше пишем. Третий фунт, циры, кстати. Создатель русского национального театра.
[22:00 - 22:03]  Создатель русского национального театра.
[22:08 - 22:20]  Циры, кавычки открываются, пишем. Колумб на Москворечье.
