[00:02 - 00:08]  Формирование политической карты.
[00:33 - 00:40]  Эл-зуси.
[00:40 - 00:42]  Вау.
[00:42 - 00:42]  Эл-зу-си-плау.
[00:42 - 00:42]  Эл-зу-си-плау.
[00:49 - 00:51]  Это был шесть.
[00:51 - 00:53]  Мы шастливы.
[00:53 - 00:55]  Прибывают все компании.
[00:55 - 00:57]  Ну, это компания шесть раз.
[00:57 - 01:00]  Свободная.
[01:00 - 01:02]  Ты мне приходил в свободную игру.
[01:02 - 01:04]  Свободную игру.
[01:04 - 01:06]  Паша ходил.
[01:06 - 01:08]  Создавая игра.
[01:08 - 01:10]  Какая-то сейчас, сколько раз в общем играл.
[01:10 - 01:12]  Говорил насчет компании.
[01:12 - 01:17]  Я тебе говорю, сколько ты уже спрашивал свободную игру.
[01:17 - 01:32]  Когда вы учили дальше на тренинге, у вас таблица умножения в конце вашей тетради, в каждой тетради, на карандах, визуально вы знали.
[01:33 - 01:40]  Поэтому, это, безусловно, ребята, мои рекомендации. Вы можете это услышать, можете это услышать, но это неинтересно.
[01:40 - 01:44]  Есть такое понятие «я путешествую по миру».
[01:44 - 01:54]  Купите себе небольшие вот такие карты дома, повесьте, положите под стекло на письменный стол, чтобы это у вас было перед глазами.
[01:54 - 02:07]  Потому что у нас сейчас очень достаточно большой поток информации, как и положительный, как и устойчивый, так и достаточно сложный, негативный.
[02:08 - 02:15]  То есть информация идет, где какая война, где какая вспышка и так далее, и так далее, и так далее.
[02:15 - 02:29]  Вот на примере просто я вчера не работала и как-то имела возможность посмотреть одну программу и рассказывать про интересное, необычное, изменяющее.
[02:29 - 02:49]  То, что медведи на поселок, на людей нападают, вы тоже слышали, правда, что и популяция расширилась, 30 тысяч медведей стало не менее, так как в зиме готовится медведь, он должен наесться и вспать, частичку упасть.
[02:49 - 03:04]  А здесь фактически есть нечего, ярко перед тобой в риме, все это засохло, пожары, а во всех восточной Сибири медведь пошел к человеку нападать.
[03:05 - 03:12]  Человек, если он попадается на его сад, даже говорили о том, что делать, но дело не в этом.
[03:12 - 03:19]  И остановились на касатке. Касатке вроде в океане, да, и она тоже, касатка поменяла свое поведение.
[03:19 - 03:29]  Она легко нападает на малоговорительные кораблики, яхты, катера, которые курсируют по морям, океанам и нам удобные.
[03:30 - 03:36]  Она легко пробивает ноги этих корабликов, да, она любит ниже ног.
[03:37 - 03:45]  Капитаны команды, они всегда есть запасные, спасательные лодки, резиновые, это элементарно.
[03:45 - 04:03]  Она водинает, его выбрасывает, стукает за воду, и люди спасаются. Для какой цели? Оказывается, касатка очень любит печень акулы, а акула очень хорошо развивает слуховые аппараты.
[04:03 - 04:14]  И как только акула слышит под водой, усиливается звук, скрежет железо, она направляется в это место.
[04:14 - 04:23]  В это время, будем говорить, ставит касаток, на акулу нападает и начинает пожирать ее кишки и печень и тому подобное.
[04:25 - 04:32]  И люди, которые попали в такие ситуации, они были поражены, что касатка разобрала акулу.
[04:32 - 04:38]  На их плоты, резиновые лодки, складываем кусочек мяса.
[04:39 - 04:42]  Поэтому, пожалуйста, кушай, не пропадешь.
[04:43 - 04:45]  Они не ожидали.
[04:45 - 04:49]  Такого в природе никогда еще не было.
[04:49 - 04:54]  Вот вам, пожалуйста, вот такой вот маленький пример.
[04:55 - 05:00]  То есть мы не знаем, на каком уровне наше сознание складывает информацию.
[05:01 - 05:06]  Визуально, слуховая или киностатическая, там, трогаешь человека, ты чувствуешь.
[05:06 - 05:09]  Приятности, неприятности, отвращения.
[05:09 - 05:16]  Поэтому, для того, чтобы знать, что эта страна находится в этой части карты, а другая страна в этой.
[05:16 - 05:24]  Поэтому я предлагаю вам, ребята, завести для себя, для своего будущего, для своего желания попутешествовать.
[05:24 - 05:29]  Узнать, как живут в этой стране, какие достопримечательности в этой стране.
[05:30 - 05:33]  Чтобы видеть визуально, какие карты государства.
[05:33 - 05:36]  Называется политическая карта мира.
[05:36 - 06:59]  Итак, записали. Политическая карта, географическая карта. Светия. Да, выйти можно старствами. Светия. Мировой торговли. Мирового кандидатизации знаний. Систематизация знаний.
[06:59 - 08:08]  География, изобретение итальянских и голландских купцов. Создание, как создание событий основного значения мира.
[08:08 - 08:21]  Итак, он хотел бы освоить молодые годы.
[08:22 - 08:25]  Он достаточно мощный флот.
[08:26 - 08:32]  Но он не знает, где какая страна находится и в каком направлении.
[08:32 - 08:34]  В чем он будет нуждаться?
[08:34 - 08:36]  В карте и комплексе.
[08:36 - 08:36]  В карте.
[08:37 - 08:41]  Карта не только территория, но и морские течения.
[08:42 - 08:46]  Это бухты, это откосы всевозможные и тому подобное.
[08:47 - 08:49]  Морские пути, морские проходы.
[08:49 - 08:49]  Правильно ли, да?
[08:50 - 08:54]  За эту карту он много может заплатить.
[08:54 - 09:02]  И мешок золота, и карты его, и благодаря этой карте он достигает определенной территории.
[09:03 - 09:10]  Государство или мореплавателю, у которого есть эта карта, нет такого мощного флота,
[09:10 - 09:15]  который способен был достичь еще раз тех или иных территорий.
[09:16 - 09:18]  А у него это есть, но нет карты.
[09:18 - 09:24]  Вот вам в чем зарождение экономической географии.
[09:25 - 09:27]  Коммерческая география.
[09:27 - 10:04]  На картах обозначались благоприятные морские пути, безопасность торговых маршрутов,
[10:04 - 11:10]  Серистики морских портов, среда, сбегающих портов, рынки с битами, ресурсы и ресурсы.
[11:13 - 11:27]  Так у карты стали использоваться период великих географических открытий.
[11:27 - 11:36]  Это 15-16 век.
[11:39 - 11:45]  Великие географические открытия 15-16 век.
[12:15 - 12:19]  И карта занимает политическое, карта занимает особое место.
[12:20 - 12:23]  Ребята, вот посмотрите, удивительно, экономическая география,
[12:25 - 12:28]  а карта политическая, не экономическая, а политическая.
[12:29 - 12:34]  Почему? Разные цвета государства,
[12:35 - 12:38]  украшены разные цвета государства и культивных.
[12:38 - 12:40]  Почему? Как называть политическое?
[12:41 - 12:44]  Чем связана экономика?
[12:45 - 12:46]  Полиция, политика.
[12:46 - 12:51]  Вот вы заслушали сегодня сообщение, которое вы сделали,
[12:52 - 12:54]  и все они связаны с чем?
[12:54 - 12:56]  С экономикой.
[12:56 - 13:00]  С экономикой. А экономика с чем связана?
[13:00 - 13:02]  С политикой.
[13:02 - 13:07]  С политикой и экономикой, да, они взаимосвязаны единицей.
[13:08 - 13:14]  Если есть деньги, то родители, да, вы с родителями внимательные, ласковые,
[13:14 - 13:19]  вам обещали это купить, вы ни в коем случае не пропускаете занятия,
[13:19 - 13:22]  не хватаете двойки, не грубите, выносите мусор,
[13:23 - 13:25]  моете посуду, подметаете, пылесосите.
[13:25 - 13:39]  Но как только вам купили эту вещь, покупать эту вещь неважно, вы ее очень хотели, или это сотовый телефон, или это пусть будет что-то другое.
[13:39 - 13:51]  Вы так все купили в прошлое, все все забывают, мы начинаем где-то дерзить, где-то говорить грубо, родители говорят, ты недооцениваешь,
[13:51 - 13:55]  на основном, говорит, я все, а ты так разговариваешь,
[13:55 - 14:00]  а почему я должен выносить мусор, он, папа, пошел, пусть забросит, возьмет и выбросит.
[14:01 - 14:04]  Есть такое? Есть? Есть.
[14:04 - 14:09]  Кругом и рядом. Человек это самое продажное существо, да?
[14:10 - 14:12]  И там всегда были, есть и будут.
[14:13 - 14:16]  Потому что для того, чтобы утворить свои потребности,
[14:16 - 14:18]  я должен фактически
[14:18 - 14:20]  приблизить свое поведение
[14:20 - 14:23]  в той форме ожидаемого
[14:23 - 14:24]  результата. И здесь
[14:24 - 14:27]  то же самое. Политика и экономика
[14:27 - 14:29]  это родственные
[14:29 - 14:31]  души. Без экономики
[14:31 - 14:33]  нет политики, а политика
[14:33 - 14:36]  всегда опирается
[14:36 - 14:37]  на экономику. Итак,
[14:38 - 14:41]  на развитие экономики
[14:41 - 14:43]  любого государства
[14:44 - 14:51]  политическая
[14:52 - 14:54]  расстановка
[14:54 - 14:55]  сил политических
[14:56 - 15:02]  расстановка сил, физическая
[15:02 - 15:04]  расстановка сил. Мне так нравится,
[15:04 - 15:06]  у меня есть люди, которые пришли
[15:06 - 15:08]  сюда писать, есть люди, которые
[15:08 - 15:14]  обыхают, да. А потом
[15:14 - 15:16]  вы не знаете, как
[15:16 - 15:17]  сформулировать мысли.
[15:18 - 15:20]  Пишите, ребят.
[15:24 - 15:26]  Разделите, пожалуйста,
[15:26 - 15:28]  листок на три части.
[15:29 - 15:30]  Три колонки.
[15:30 - 15:33]  Первая колонка будет одна
[15:33 - 15:37]  с уровня короткие слова.
[15:37 - 15:41]  Средняя колонка – это
[15:41 - 15:49]  сущность. И третья колонка – это государства, которые
[15:49 - 15:54]  развивались. Это время. Итак, разделите, пожалуйста,
[15:55 - 20:10]  листок на три части. Первая сущность. Примеры государства.
[20:41 - 20:48]  Первый период – это теоретическая карта. Это древний период.
[20:51 - 20:57]  Пятый век, до пятого века нашей эры.
[21:09 - 21:14]  Рабовладельческие.
[21:15 - 21:19]  Вторая полка, нет, это все в первом.
[21:19 - 21:23]  Время, развитие политической карты.
[21:25 - 21:28]  Сталпы, время, форму правления.
[21:34 - 21:36]  Рабовладельческие.
[21:37 - 21:39]  Что в первом столбике было?
[21:39 - 21:46]  Вторая часть, да, средняя часть, где написано «Сущность и важные события».
[21:47 - 21:48]  Возникновение.
[21:48 - 21:54]  Все то, что касалось в пятом веке.
[21:58 - 23:06]  Прикновение, расцвет, крушение первого государства, начало, дело, мира, захваты территорий, государственные контакты.
[23:06 - 23:31]  Какие государства в это время сними определенные территории, получают статус государства,
[23:31 - 23:38]  прикидывают границы, счастливают собственные деньги и укрепляют свои позиции.
[23:38 - 24:48]  Третий столбик, примеры государств, Древний Египет, Древний Сибирь, Рим, Древняя Греция, Китай,
[24:48 - 26:20]  В следующем веке, Минековый, 5-й, 16-й век, феодаличие, феодализм отличался от рабообичных.
[26:22 - 26:24]  Домали землю.
[26:25 - 26:26]  То, что феодалы занимали рабочие силы.
[26:27 - 26:30]  То, что феодалы занимали рабочие силы.
[26:32 - 26:35]  Нет, феодалы ведь этот владели крестьянами.
[26:39 - 26:43]  Не, не, не, не.
[26:43 - 26:56]  Было возможно на предохвате именно национальностей, которые стоят в порядке.
[26:56 - 27:13]  Почему мы все считаем, что это люди, которые искоренны населением, которые не захвачивают, они моментально превращались в обработку.
[27:15 - 27:34]  Орда тоже поглощалась, и женщины, и дети, и мужчины, и тому подобное, они тоже фактически превращались в полное причинение правительства.
[27:34 - 27:36]  и не можно было делать все, что хочешь.
[27:37 - 27:42]  Как по-вашему, почему многие русские, вы говорите, княжи,
[27:42 - 27:46]  а в арду его отвозили сами?
[27:47 - 27:50]  Вот скажем тебе, пожалуйста, я все понимаю, да?
[27:51 - 27:54]  Вот весь ты взрослый, ты считаешься взрослым.
[27:54 - 27:55]  Как бы ты поступил?
[27:56 - 28:01]  Вот представь себе, пришла ваша классная молодежная одежда Александровна,
[28:01 - 28:04]  а я буду ее этой кустой путь кидать.
[28:04 - 28:06]  Он мне воды дал, я допил.
[28:07 - 28:10]  Он мне водички дал, я допил и обратно отдал.
[28:10 - 28:15]  Я согласна, но почему ты не пойдешь, что я отнесу, я отнесу, я отнесу.
[28:16 - 28:17]  Зачем?
[28:17 - 28:17]  Не хотел вас.
[28:18 - 28:21]  Ребята, все-таки, вы замечаете, вы уже не делаете.
[28:23 - 28:23]  Почему?
[28:24 - 28:27]  Гордовы, в отдании, отвозили.
[28:28 - 28:32]  Если они придут, задание не брали больше.
[28:33 - 28:36]  Ну, фактически, не разоряли, да?
[28:36 - 28:37]  А каким образом?
[28:37 - 28:41]  Ну, вот ты представь себе, мы с тобой здесь сидим, да?
[28:41 - 28:46]  А человек, кто собирает дамь, предположим, находится на улице на другом конце.
[28:47 - 28:51]  У меня сто выходов, чтобы я убежала и ничего не заплатила.
[28:51 - 28:55]  В данный момент переодеться и чего только не было.
[28:55 - 28:57]  А почему отвозили?
[28:57 - 28:58]  А нападение?
[28:58 - 29:07]  Потому что, ребята, когда захватывали наши посадские земли, территории и народ увозили,
[29:08 - 29:20]  то фактически забирали и ребенка у княж, этого ребенка помещали в башню, и ребенок сидел в башне, видел казнь.
[29:21 - 29:31]  Наступал день возвращения или отдачи дань, и если дань не приносили, ребенка сажали на козу.
[29:31 - 29:41]  Вместе с этим ребенком, например, девочка или мальчик, были обязательно слуги, потому что слугу отпускали,
[29:41 - 29:46]  доносили информацию, сколько княжа должен заплатить.
[29:46 - 29:50]  Княжа собирался с людей, которые остались в весе,
[29:50 - 29:57]  а в рог, который он не направлял, потому что там находилась его жена,
