[00:02 - 00:03]  Русские, где-то, наверное.
[00:14 - 00:16]  Иди, иди, иди.
[00:17 - 00:18]  Так, сейчас.
[00:21 - 00:23]  Мы сегодня к третьему уроку пришли?
[00:23 - 00:24]  К четвертому.
[00:24 - 00:26]  А, к четвертому даже.
[00:27 - 00:29]  Отдав, мучая, выспавшаяся.
[00:33 - 00:33]  Пишем.
[00:34 - 00:35]  Язык как знак выяснил.
[00:36 - 00:37]  Записываем тему урока.
[00:38 - 00:40]  Сетратку можно любой завести.
[00:40 - 00:42]  Хоть в клетку, хоть в линейку.
[00:42 - 00:46]  Желательно, главное, чтобы все записи были.
[00:46 - 00:47]  Какая еще тема?
[00:47 - 00:50]  Язык как знаковая система пишет.
[01:08 - 01:12]  Сегодня мы начинаем наш курс русского языка.
[01:12 - 01:14]  Я знаю, что многие из вас думают, наверное,
[01:14 - 01:20]  зачем нам будущим монтажникам технического обслуживания,
[01:20 - 01:22]  математика, русский язык.
[01:23 - 01:25]  Мы же не филологи, думают, наверное.
[01:25 - 01:27]  Филологи это кто такие?
[01:27 - 01:50]  которые люди занимаются размышлениями, размышлениями занимается философия, пониманием слова, фонетикой, морфологией, занимается пониманием слова, языкознанием, изучает тонкости языка, филология.
[01:50 - 02:00]  Вот у меня в дипломе написано, что я филолог, преподаватель, учитель татарского языка, турецкого языка, русского языка.
[02:00 - 02:06]  Я филолог, который изучал языки в институте на протяжении пяти лет.
[02:08 - 02:12]  Давайте сразу развеем этот миф. Представьте ситуацию.
[02:12 - 02:19]  Вы закончили колледж, устроились на работу, вы грамотный специалист, знаете свое дело.
[02:19 - 02:40]  Но вам нужно что? Написать, например, отчет о проделанной работе, составить заявку на оборудование, выступить на совещании перед начальством, объяснить заказчику, например, почему нужно сделать именно так, а не по-другому.
[02:40 - 02:41]  Вопрос к вам
[02:41 - 02:44]  Как вы думаете, что произойдет
[02:44 - 02:46]  Если вы напишите отчет с ошибками
[02:46 - 02:49]  И не сможете четко объяснить свою мысль
[02:49 - 02:50]  Можно?
[02:50 - 02:50]  Можно?
[02:53 - 02:54]  Так я думаю, ты ответить хочешь
[02:54 - 02:55]  Так
[02:55 - 02:59]  Вообще на перемене
[02:59 - 03:01]  Станет телефон на будущее
[03:01 - 03:04]  Пожалуйста, говорим, говорим
[03:04 - 03:04]  Не стесняемся
[03:04 - 03:07]  Фактически может произойти недопонимание
[03:07 - 03:08]  Или ошибка
[03:08 - 03:11]  В связи с ошибкой в отчете, может ли рассчитаться отчет,
[03:11 - 03:14]  как, ну, то есть он просто не примет отчет с ошибкой,
[03:15 - 03:17]  потому что он ошибочно рассчитает?
[03:17 - 03:22]  Ну, какое мнение о нем сложится у руководителей, у присутствующих?
[03:22 - 03:23]  Не грамотный.
[03:24 - 03:29]  Не грамотный, не поймут, ну, не уволят, но просто сделают выводы, да?
[03:29 - 03:34]  Вас не поймут, ваше мнение просто не примут всерьез.
[03:34 - 03:37]  Вы потеряете просто-напросто свой авторитет.
[03:37 - 03:59]  Авторитет. Согласитесь, ваша речь, прежде всего, это ваше лицо. Оно показывает ваш уровень образования, интеллекта и уважения к окружающим. Поэтому русский язык нужен вам не для того, чтобы сдать экзамен по русскому языку и получить отметку, а для того, чтобы быть успешным специалистом и человеком.
[03:59 - 04:15]  Русский язык у вас будет один год, на протяжении оставшихся трех лет я не буду у вас, у вас уже другие будут специальности, вы будете читать учебники, вы, как человек, вообще всю жизнь должен заниматься саморазвитием.
[04:15 - 04:37]  И миссия преподавателей в колледже, вот здесь в частности, не давать 100% информацию вам готовую, чтобы вы усваивали, а вас вести как наставник, показывать, научить вас добывать ту или иную литературу, находить те или иные источники.
[04:37 - 04:54]  Я вот вам сказала на том занятии, что грамотно, если вы хотите занимать высокие должности в будущем, вы должны правильно уметь формулировать свои цели и мечтать об этом. Но это недостаточно.
[04:54 - 05:09]  Еще что я вам говорила, нужно в день читать не менее пяти страниц, не про себя, а вслух, проговаривая, когда читать. Кто начал читать что-нибудь, читает кто-нибудь книги, техническую литературу.
[05:09 - 05:32]  Вот. Ну, если только вы на начальной стадии, я вам хочу сказать то, что начинать надо, чтобы потом проверить, исходя моих слов, действительно ли влияет будет на вашу литературную грамотную речь или нет. Потом мы можем с вами обсудить по поводу этого, какие плюсы вы ощутили в своем развитии.
[05:32 - 05:38]  Культура речи – это важнейшая часть вашей профессиональной компетенции.
[05:38 - 05:58]  Итак, мы с вами будем говорить о языке. Но прежде чем углубиться во все тонкости русского языка в правилу нормы, давайте разберемся вообще, что такое язык вообще, из чего он состоит, какие функции он выполняет и в каких формах существует.
[05:58 - 06:03]  Это будет нашей базой, на которой мы будем опираться на всех последующих занятиях.
[06:05 - 06:10]  Зачем же нужны нам знания русского языка?
[06:10 - 06:15]  Я уже сказала вам, что язык нужен для общения и для работы.
[06:16 - 06:18]  Давайте посмотрим на это шире.
[06:19 - 06:23]  В современном мире мы живем в условиях информационного языка.
[06:23 - 06:26]  Вы постоянно получаете информацию.
[06:26 - 06:32]  Обрабатывайте огромное количество информации, согласитесь, откуда вы информацию получаете
[06:32 - 06:36]  Из соцсетей, новостей, учебников, инструкций
[06:36 - 06:43]  Чтобы успевать обрабатывать эту информацию и принимать решение, что нам нужно уметь
[06:43 - 06:48]  Четко формулировать свои мысли, понимать, что нам говорят другие
[06:48 - 06:51]  Быстро и грамотно уметь отвечать
[06:51 - 06:59]  Именно поэтому культура речи это не школьный предмет, а жизненная необходимость
[06:59 - 07:06]  Например, представьте, вы начальник цеха, вам нужно отдать распоряжение рабочим
[07:06 - 07:13]  Вы подходите к рабочим и говорите, ну это сделайте там, чтобы все сработало, поняли, и уходите
[07:13 - 07:18]  Вы говорите, вас поймут ли в этом случае рабочие?
[07:18 - 07:33]  Нет, конечно, они только поймут вас частично. Они поймут то, что вы указали на какой-то объект, на какой-то аппарат, например, что-то нужно сделать, отремонтировать, а конкретно задачу свою могут не понять.
[07:33 - 07:56]  Поэтому, если вы четко скажете, например, с 10 до 12 часов нужно провести профилактику третьего станка, заменить режущую головку. Вот так, если вы скажете, они поймут? Конечно поймут. И они сделают это все правильно, что вы хотите, хотели бы от них увидеть.
[07:56 - 08:04]  бывали ли у вас вообще жизни такие ситуации когда вас не поняли потому что вы неправильно выразились
[08:04 - 08:13]  бывало такое например расскажи про свой случай если было то может рассказать про свой случай
[08:13 - 08:22]  пожалуйста не поняли что именно сказал хотя принципе у меня было правильно построено
[08:22 - 08:30]  предложение не поняли слов из-за чего это произошло то что они понимали то есть
[08:30 - 08:36]  не понимали суть этого слова у них в лексиконе не было этого слова они не
[08:36 - 08:42]  знали что означает слово соответственно произошло непонимание еще какие у вас
[08:42 - 08:49]  были случаи пожалуйста у тебя были случаи такие когда мама не понимала или папа или
[08:49 - 09:06]  друзья не понимали когда ты говорил из-за чего это происходило так девочки я договаривалась
[09:06 - 09:12]  на время после трех но не говорил какой конкретно то есть я ожидала что мастер придет где-то в районе
[09:12 - 09:19]  с трех до пяти а он оказывается ему было удобнее с шести то есть по факту же это после трех но для
[09:19 - 09:24]  меня само не совсем подходящее время то есть в моем случае здесь была я винатор не уточнила
[09:24 - 09:27]  Молодец, умница
[09:27 - 09:29]  Еще какие случаи были в жизни?
[09:30 - 09:32]  Пожалуйста, были такие еще?
[09:32 - 09:33]  Может еще кто-нибудь рассказать?
[09:34 - 09:35]  Поделиться примером из жизни
[09:35 - 09:38]  Например, с детьми, может быть, были
[09:38 - 09:39]  Такие случаи
[09:39 - 09:42]  Когда ты ребенку одно говорил, а он делал по-другому
[09:42 - 09:44]  Почему так происходило?
[09:44 - 09:47]  Потому что ребенок
[09:47 - 09:48]  У ребенка другой, да?
[09:48 - 09:51]  У него узкий словарный запас
[09:51 - 09:52]  Он может недопонимать
[09:52 - 09:54]  Такие термины или слова
[09:54 - 09:56]  которые понятны для тебя.
[09:58 - 10:01]  Вот. Значит, давайте запишем.
[10:02 - 10:03]  Запишем.
[10:04 - 10:07]  В современную эпоху, пишем, в современную эпоху,
[10:07 - 10:18]  в современную эпоху, запятая,
[10:18 - 10:23]  требующую получения и обработки большого количества информации,
[10:28 - 10:39]  требующую получения и обработки,
[10:39 - 11:54]  В современную эпоху, запятая, требующую получения и обработки большого количества информации, запятая, оперативных действий, запятая, быстрого принятия решений, оперативных действий, записали, да?
[11:54 - 12:59]  быстрого принятия решений, от специалиста для успеха в его профессиональной деятельности требуется навыки владения устной и письменной речи.
[12:59 - 13:30]  В современную эпоху, требующую получения и обработки большого количества информации, оперативных действий, быстрого принятия решений, от специалиста для успеха в его профессиональной деятельности требуются навыки владения устной и письменной речью.
[13:30 - 13:31]  Точка.
[13:36 - 13:46]  Культура речи.
[13:46 - 13:46]  Запятая.
[13:47 - 13:49]  Умение общаться.
[14:00 - 14:00]  Запятая.
[14:01 - 14:02]  Знание этикета.
[14:02 - 14:08]  Культура речи.
[14:08 - 14:08]  Запятая.
[14:08 - 14:09]  Умение общаться.
[14:10 - 14:14]  Знание этикета является визитной карточкой.
[14:14 - 14:32]  Знание этикета является визитной карточкой любого человека.
[14:42 - 14:42]  Запятая.
[14:42 - 14:44]  Особенно в деловом мире.
[15:02 - 15:03]  Записали, да?
[15:03 - 15:03]  Да.
[15:03 - 15:09]  Так, не пишем. Что же представляет собой язык?
[15:10 - 15:16]  Пока не пишем. Язык, давайте дадим просто научное определение.
[15:18 - 15:22]  Средства для коммуникации.
[15:22 - 15:25]  Для передачи информации.
[15:25 - 15:28]  Для передачи информации служит важную функцию.
[15:29 - 15:29]  Еще.
[15:30 - 15:32]  Проявление информации.
[15:32 - 15:37]  Для проявления эмоций язык тоже молодцы.
[15:38 - 15:42]  Язык это вообще система знаков и способов их соединения.
[15:42 - 15:51]  Они служат орудием выражения, как вы сказали, мыслей, чувств, волей изъявлений и являются средством общения.
[15:51 - 15:53]  Простыми словами, что мы можем сказать?
[15:53 - 15:55]  Язык это кирпичики.
[15:55 - 16:08]  Это кирпичики, это имеется в виду то, что язык состоит из звуков, из букв, из слов, из предложений.
[16:08 - 16:11]  А клеем что является всего этого?
[16:11 - 16:13]  Клеем всего этого является...
[16:15 - 16:16]  Нет, вот язык.
[16:16 - 16:25]  У языка, вот язык состоит из кирпичиков, из звуков, из букв, из слов, из предложений, из текстов.
[16:25 - 16:28]  Что является клеем для всего этой цепочки?
[16:29 - 16:29]  Разум.
[16:30 - 16:30]  Нет.
[16:32 - 16:38]  Ну, разум это слово, но конкретный язык является клеем грамматика, правила.
[16:39 - 16:49]  Вот эти вот все у нас окончания, буквы, они друг к другу соединяются в слова и в предложения, а потом в текст, благодаря грамматике и правилу.
[16:49 - 16:57]  благодаря этому мы понимаем друг другу что говорит что хотел например сказать тот или
[16:57 - 17:04]  иной человек возьмем слово 100 это набор букв и знаков сами по себе буквы ничего не значит а если
[17:04 - 17:12]  они соединены воедино мы уже понимаем у нас сразу же в мышле создается образ предмет предмет что
[17:12 - 17:19]  такой стол вот предмет мебели а когда мы добавляем окончании и дальше добавляем
[17:19 - 17:25]  уже несколько слов то у нас уже получается по порядку же тексты уже
[17:25 - 17:31]  конкретно слаженный набор предложения текст получается мы же мы не мы не можем
[17:31 - 17:38]  носить с собой все предметы мира но мы можем их называть вот это это экономит у
[17:38 - 17:51]  нас время и силы получается запишите язык эта система знаков и способов язык эта система
[17:51 - 18:24]  знаков язык эта система знаков и способов их соединения эта система знаков и способов их
[18:24 - 18:36]  соединения запятая он служит орудием выражения мыслей вот в одной группе 6 человек заболел
[18:36 - 18:49]  тебя тоже до пробуду что продуваться не сквозняк так язык эта система знаков и способов их соединения
[18:49 - 19:35]  Он служит орудием выражения мыслей, чувств и воли изъявления и является средством общения.
[19:35 - 20:09]  Точка поставлена. Новое предложение. Язык — это система знаков и способов их соединения. Он служит орудием выражения мыслей, чувств и воли изъявления и является средством общения. Точка.
[20:09 - 21:03]  Пишем новый предложение.
[21:04 - 22:28]  Люди, запятая, получая и обрабатывая информацию, получая и обрабатывая информацию, получая и обрабатывая информацию о предметах или явлениях, о предметах или явлениях, запятая, оперируют с помощью языка, оперируют с помощью языка уже не имя, а их знаками.
[22:28 - 22:56]  Имя уже не имя, а их знаками, запятая, обозначениями понятий.
[22:58 - 23:00]  Обозначениями понятий.
[23:01 - 23:16]  Теперь поговорим о том, что разберём слово «система».
[23:16 - 23:20]  Русский язык представляет собой одну систему.
[23:21 - 23:28]  Если системы нет, вот, грубо говоря, ни в образовании, ни в государстве, то будет у нас хаос.
[23:28 - 23:32]  Везде должна быть четкая система и порядок.
[23:32 - 23:41]  Так и в языке. Если все выстроено и логично, соответственно, люди будут правильно и грамотно разговаривать на языке.
[23:42 - 23:47]  Система с переводом греческого означает целое составленное из частей.
[23:47 - 23:55]  Это объединение элементов, которые находятся в отношении к их связи, образуя целостность и единство.
[23:55 - 23:59]  Чтобы было понятнее, давайте приведем пример систем.
[23:59 - 24:01]  Например, с которым вы сталкиваетесь каждый день.
[24:02 - 24:09]  Например, часы. Часы состоят у нас из стрелок, из механизма, из циферблата.
[24:09 - 24:11]  Кружины есть, шестеренки есть.
[24:11 - 24:16]  Если мы одну шестеренку уберем, то часы просто-напросто остановятся.
[24:17 - 24:39]  Все элементы связаны между собой и работают как единое целое. Даже возьмем компьютер. У компьютера у нас что имеется? Процессор, память, жесткий диск, монитор, клавиатура. Если вынуть процессор, компьютер просто не включится. Все части взаимосвязаны.
[24:39 - 24:47]  ваша будущая профессия связана с радиомеханикой
[24:47 - 24:52]  например возьмем тот же самый радиоприемник тоже это тоже система
[24:52 - 24:57]  танец усилитель антенны динамик есть если антенны не будет убрать антенны
[24:57 - 25:05]  сигнал не что не поймается так и язык он тоже состоит из элементов которые
[25:05 - 25:07]  связаны друг с другом.
[25:07 - 25:09]  Нельзя просто взять и убрать
[25:09 - 25:11]  из языка, скажем, окончание.
[25:12 - 25:13]  И думать,
[25:13 - 25:15]  что мы все равно поймем
[25:15 - 25:16]  друг друга.
[25:17 - 25:19]  Есть системы, есть правила,
[25:19 - 25:21]  есть грамматика, есть установленные
[25:22 - 25:22]  нормы, правила.
[25:23 - 25:25]  Их нужно все учитывать.
[25:25 - 25:26]  А то мы не поймем.
[25:27 - 25:29]  Какие еще вы системы знаете
[25:29 - 25:30]  из жизни? Пожалуйста.
[25:32 - 25:32]  Так, третий ряд.
[25:33 - 25:35]  Первый, второй отвечал. Какие вы знаете?
[25:35 - 25:36]  примеры из жизни?
[25:36 - 25:36]  Не знаю.
[25:38 - 25:42]  Не знаешь? Ну, какие еще есть?
[25:42 - 25:42]  Пожалуйста.
[25:44 - 25:46]  Система образования, да.
[25:47 - 25:48]  Транспортная система, например.
[25:49 - 25:51]  Если не будет пассажиров, то и транспортной
[25:51 - 25:52]  системы не будет.
[25:53 - 25:55]  Если не будет кондукторов, что будет?
[25:57 - 25:58]  Бесплатный проезд.
[25:59 - 26:01]  Транспортная система уйдет в банкротство.
[26:02 - 26:03]  Соответственно, мы будем все ходить
[26:03 - 26:06]  пешком, на велосипедах кататься
[26:06 - 26:07]  и на машину перейдем.
[26:08 - 26:10]  Так, еще какие системы?
[26:10 - 26:12]  Система продаж.
[26:13 - 26:14]  Экосистемы,
[26:14 - 26:15]  школьные системы.
[26:15 - 26:17]  Если парты учителя уберем,
[26:17 - 26:19]  то представляете, что будет.
[26:19 - 26:21]  Вывод. Язык это сложная,
[26:22 - 26:23]  но стройная система.
[26:23 - 26:25]  В нем все взаимосвязано.
[26:25 - 26:27]  Любой элемент, убери что-то,
[26:27 - 26:29]  морфологию или фонетику, или синтез,
[26:30 - 26:32]  соответственно, уже пойдет
[26:32 - 26:33]  в бой, как в любой
[26:33 - 26:35]  и исходя из жизни.
[26:36 - 26:38]  Тоже так же. Записываем, что такое.
[26:39 - 26:56]  Так, система, скобка от греческого, система, система, скобка от греческого, система, английскими буквами, от греческого, система.
[27:03 - 27:14]  Это целая, это зампанка че, да? Вы знаете ее? Нет? Не познакомили вас с руководством колледжа?
[27:14 - 27:36]  Так, система. От греческого система это целая, запятая, составленная из частей, точку запятой, соединение.
[27:41 - 27:46]  Точку запятой ставим, соединение. Система можно трактовать в два значения.
[27:46 - 27:54]  Первое это целая, составленная из частей, или система переводится, славится с греческого языка, просто соединение.
[27:54 - 27:56]  Копку закрываем. Дальше пишем.
[27:57 - 28:48]  Тире. Объединение элементов, находящихся в отношениях и связях, образующих целостность, единство.
[28:48 - 29:06]  Целостный, образующий, целостный, единство, точка
[29:06 - 29:13]  Пишем следовательно, запятая
[29:13 - 29:25]  Следовательно, запятая, каждая система двоеточия
[29:25 - 29:37]  Следовательно, запятая, каждая система двоеточия
[29:37 - 29:40]  Снова строчки пишем тире
[29:40 - 29:42]  Состоит из множества элементов
[29:42 - 29:58]  Точка запятой поставим
[29:58 - 29:59]  Снова строчки тире
[29:59 - 30:04]  Элементы находятся в связи друг с другом
[30:04 - 30:04]  Открывайте.
[30:06 - 30:11]  Значит, состоит из множества элементов, точку с запятой поставили.
[30:17 - 30:37]  Элементы находятся в связи друг с другом, точку с запятой поставили.
[30:39 - 30:40]  Следующий.
[30:40 - 30:41]  Сиры ставим.
[30:42 - 30:44]  Элементы образуют единство.
[30:46 - 30:48]  Элементы образуют единство.
[30:48 - 31:01]  Элементы образуют единство, запятая, одно целое, точка.
[31:08 - 31:11]  Мы с вами записали следовательно каждую систему.
[31:11 - 31:13]  Вы точку оставили и перечислили.
[31:14 - 31:16]  Состоит из множества элементов.
[31:17 - 31:19]  Элементы находятся в связи друг с другом.
[31:20 - 31:23]  Элементы образуют единство, одно целое.
[31:24 - 31:26]  Дальше не записываем пока.
[31:26 - 31:37]  Так, давайте посмотрим, из каких элементов состоит у нас язык.
[31:38 - 31:42]  Язык состоит, можно посмотреть от маленького к большому.
[31:42 - 31:51]  Он состоит из морфема, из фонетики, из морфемы, из синтаксиса и тому подобного.
[31:52 - 31:55]  Каждый уровень простыми словами можно также сказать,
[31:55 - 32:00]  То, что звук – это самая маленькая единица, она не имеет смысла.
[32:00 - 32:06]  Но различают смыслы, если буква Б, П, например, разные звуки.
[32:06 - 32:09]  Поэтому балка и палка – разные слова.
[32:09 - 32:13]  Морфема – это что у нас такое?
[32:14 - 32:16]  Морфема изучает что?
[32:18 - 32:20]  В функции курса русского языка.
[32:20 - 32:21]  Части слова.
[32:21 - 32:25]  Приставка, суффикс, корень, окончание.
[32:25 - 32:28]  Морфема изучает состав слова
[32:28 - 32:30]  Вот здесь тоже
[32:30 - 32:38]  Например, вода, водный корень всегда связан с водой
[32:38 - 32:41]  А приставка за означает начало действия
[32:41 - 32:44]  Например, запеть, забежать
[32:44 - 32:51]  Слово это уже самостоятельная единица, которую называет предмет, действие или признак
[32:51 - 32:54]  Фразеологизм, что это такое?
[32:54 - 33:01]  Это устойчивое выражение, которое используется в устойчивом выражении.
[33:01 - 33:05]  Словосочетание, которое состоит из двух или трех слов.
[33:05 - 33:07]  Например, бить воплуши, да?
[33:07 - 33:08]  Еще что можно?
[33:08 - 33:12]  Кот наплакал и тому подобное.
[33:12 - 33:13]  Вы знаете, да?
[33:14 - 33:22]  Словосочетание состоит из двух или трех больше слов, связанных по смыслу и грамматически.
[33:22 - 33:24]  Предложение – это законченная мысль.
[33:25 - 33:40]  Если вы в заявке, например, напишите, требуется ремонт станка за два дня, ошибки напишите, то, соответственно, будет показывать вашу неграмотность, как неграмотный специалист.
[33:40 - 33:44]  Как правильно нужно написать в заявке?
[33:46 - 33:49]  Требуется ремонт такого-то станка в таком-то месте, в такой-то срок.
[33:50 - 33:52]  Требуется ремонт станка за два дня, например.
[33:54 - 33:55]  Требуется что?
[33:55 - 34:02]  Ну, нет, хотя бы это предложение, без указания какого именно станка, как вы грамотно напишите.
[34:03 - 34:07]  Требуется ремонт станка за 2 дня. Где здесь ошибка?
[34:07 - 34:08]  А за 2 дня требуется ремонт.
[34:11 - 34:15]  Срок выполнения можно еще в течение 2 дней, да?
[34:16 - 34:23]  В течение, что можно, как написать, требуется отремонтировать станок в течение 2 дней.
[34:23 - 34:28]  Вот так будет более грамотно, чем требуется ремонт станка за два дня.
[34:29 - 34:33]  Вот нужно по этому точной встрече важнейшее качество специалистов.
[34:34 - 34:38]  А то можно понять ваше предложение двояко.
[34:38 - 34:42]  Человек может подумать, что вообще другой смысл.
[34:42 - 34:43]  Пишем.
[34:44 - 34:46]  Язык состоит из единиц.
[34:47 - 35:03]  Язык состоит из единиц, двоеточия.
[35:04 - 35:06]  Первое это тире станя.
[35:06 - 35:08]  Звук
[35:08 - 35:13]  Язык состоит из единиц
[35:13 - 35:14]  Двоеточие перечисляет
[35:14 - 35:17]  Язык
[35:17 - 35:19]  Дальше пошло морфема
[35:19 - 35:24]  Сколько можете указать
[35:24 - 35:26]  Приставка, корень, суффикс
[35:26 - 35:27]  Окончание
[35:27 - 35:32]  Следующее, третье, слово
[35:32 - 35:43]  Следующее, фразеологическая единица
[35:43 - 36:00]  Следующее, свободное словосочетание
[36:00 - 36:09]  Следующее, предложение
[36:09 - 36:13]  Предложение какое бывает?
[36:14 - 36:18]  Простой, сложный.
[36:20 - 36:21]  И потом текст в конце.
[36:30 - 36:32]  Пишем. Единицы языка.
[36:37 - 36:38]  Определение.
[36:39 - 36:42]  Нет, это продолжение предложения пишем.
[36:43 - 36:46]  Единицы языка связаны друг с другом.
[36:58 - 37:01]  Единицы языка связаны друг с другом. Точка.
[37:02 - 37:03]  Однородные единицы.
[37:03 - 37:15]  Однородные единицы в скобках
[37:15 - 37:17]  Например, звуки, морфемы, слова
[37:17 - 37:32]  Например, звуки, морфемы, слова
[37:32 - 37:34]  Закрыли скобки
[37:34 - 37:38]  Объединяются и образуют уровень языка
[37:38 - 37:42]  Объединяются
[37:42 - 37:47]  Объединяются
[37:47 - 37:51]  Однородные единицы
[37:51 - 37:55]  Например, звуки, морфемы, запятая слова
[37:55 - 38:00]  Объединяются и образуют уровень языка
[38:00 - 38:04]  Объединяются и образуют уровни языка
[38:04 - 38:17]  Пишем, язык это знаковая система
[38:17 - 38:35]  Существует два типа знаков
[38:37 - 38:39]  Существует два типа знаков
[38:44 - 38:46]  Типа знаков
[38:46 - 38:47]  Существует два типа знаков
[38:48 - 38:50]  Двоеточие
[38:50 - 38:53]  Первый это естественный
[38:53 - 38:57]  Естественный
[38:57 - 39:16]  Объединяются и образуются уровни языка.
[39:16 - 39:27]  Существует два типа знаков.
[39:27 - 39:29]  Первый – естественный.
[39:29 - 39:32]  Существует два типа языка.
[39:32 - 39:40]  Типа знаков. Существует два типа знаков.
[39:42 - 39:44]  Существует два типа знаков.
[39:45 - 39:47]  Первое. Естественное.
[39:47 - 39:48]  Записали?
[39:48 - 39:51]  В скобках знаки-признаки.
[39:51 - 39:54]  Знаки-признаки.
[39:54 - 39:55]  Сейчас объясню вам.
[39:55 - 39:58]  Естественное в скобках знаки-признаки.
